run_accession	study_accession	sample_accession	experiment_accession	scientific_name	library_name	library_strategy	read_count	first_public	last_updated	sample_alias
ERR329552	PRJEB1934	SAMEA2172868	ERX302531	mouse skin metagenome	unspecified	AMPLICON	6159	2013-09-06	2018-11-16	369
ERR329553	PRJEB1934	SAMEA2172869	ERX302532	mouse skin metagenome	unspecified	AMPLICON	5705	2013-09-06	2018-11-16	370
ERR329554	PRJEB1934	SAMEA2172870	ERX302533	mouse skin metagenome	unspecified	AMPLICON	8247	2013-09-06	2018-11-16	371
ERR329555	PRJEB1934	SAMEA2172871	ERX302534	mouse skin metagenome	unspecified	AMPLICON	5162	2013-09-06	2018-11-16	372
ERR329556	PRJEB1934	SAMEA2172872	ERX302535	mouse skin metagenome	unspecified	AMPLICON	4534	2013-09-06	2018-11-16	375
ERR329557	PRJEB1934	SAMEA2172873	ERX302536	mouse skin metagenome	unspecified	AMPLICON	3804	2013-09-06	2018-11-16	376
ERR329558	PRJEB1934	SAMEA2172874	ERX302537	mouse skin metagenome	unspecified	AMPLICON	3598	2013-09-06	2018-11-16	377
ERR329559	PRJEB1934	SAMEA2172875	ERX302538	mouse skin metagenome	unspecified	AMPLICON	3672	2013-09-06	2018-11-16	378
ERR329560	PRJEB1934	SAMEA2172876	ERX302539	mouse skin metagenome	unspecified	AMPLICON	5913	2013-09-06	2018-11-16	381
ERR329561	PRJEB1934	SAMEA2172877	ERX302540	mouse skin metagenome	unspecified	AMPLICON	4735	2013-09-06	2018-11-16	383
ERR329562	PRJEB1934	SAMEA2172878	ERX302541	mouse skin metagenome	unspecified	AMPLICON	3898	2013-09-06	2018-11-16	384
ERR329563	PRJEB1934	SAMEA2172879	ERX302542	mouse skin metagenome	unspecified	AMPLICON	5575	2013-09-06	2018-11-16	385
ERR329564	PRJEB1934	SAMEA2172880	ERX302543	mouse skin metagenome	unspecified	AMPLICON	4970	2013-09-06	2018-11-16	386
ERR329565	PRJEB1934	SAMEA2172881	ERX302544	mouse skin metagenome	unspecified	AMPLICON	7455	2013-09-06	2018-11-16	387
ERR329566	PRJEB1934	SAMEA2172882	ERX302545	mouse skin metagenome	unspecified	AMPLICON	4529	2013-09-06	2018-11-16	388
ERR329567	PRJEB1934	SAMEA2172883	ERX302546	mouse skin metagenome	unspecified	AMPLICON	4304	2013-09-06	2018-11-16	390
ERR329568	PRJEB1934	SAMEA2172884	ERX302547	mouse skin metagenome	unspecified	AMPLICON	4624	2013-09-06	2018-11-16	393
ERR329569	PRJEB1934	SAMEA2172885	ERX302548	mouse skin metagenome	unspecified	AMPLICON	4818	2013-09-06	2018-11-16	394
ERR329570	PRJEB1934	SAMEA2172886	ERX302549	mouse skin metagenome	unspecified	AMPLICON	3506	2013-09-06	2018-11-16	395
ERR329571	PRJEB1934	SAMEA2172887	ERX302550	mouse skin metagenome	unspecified	AMPLICON	3753	2013-09-06	2018-11-16	396
ERR329572	PRJEB1934	SAMEA2172888	ERX302551	mouse skin metagenome	unspecified	AMPLICON	3654	2013-09-06	2018-11-16	397
ERR329573	PRJEB1934	SAMEA2172889	ERX302552	mouse skin metagenome	unspecified	AMPLICON	5707	2013-09-06	2018-11-16	398
ERR329574	PRJEB1934	SAMEA2172890	ERX302553	mouse skin metagenome	unspecified	AMPLICON	5604	2013-09-06	2018-11-16	404
ERR329575	PRJEB1934	SAMEA2172891	ERX302554	mouse skin metagenome	unspecified	AMPLICON	5700	2013-09-06	2018-11-16	405
ERR329576	PRJEB1934	SAMEA2172892	ERX302555	mouse skin metagenome	unspecified	AMPLICON	4524	2013-09-06	2018-11-16	406
ERR329577	PRJEB1934	SAMEA2172893	ERX302556	mouse skin metagenome	unspecified	AMPLICON	3087	2013-09-06	2018-11-16	407
ERR329578	PRJEB1934	SAMEA2172894	ERX302557	mouse skin metagenome	unspecified	AMPLICON	3850	2013-09-06	2018-11-16	408
ERR329579	PRJEB1934	SAMEA2172895	ERX302558	mouse skin metagenome	unspecified	AMPLICON	3544	2013-09-06	2018-11-16	411
ERR329580	PRJEB1934	SAMEA2172896	ERX302559	mouse skin metagenome	unspecified	AMPLICON	7428	2013-09-06	2018-11-16	412
ERR329581	PRJEB1934	SAMEA2172897	ERX302560	mouse skin metagenome	unspecified	AMPLICON	2909	2013-09-06	2018-11-16	413
ERR329582	PRJEB1934	SAMEA2172898	ERX302561	mouse skin metagenome	unspecified	AMPLICON	3928	2013-09-06	2018-11-16	414
ERR329583	PRJEB1934	SAMEA2172899	ERX302562	mouse skin metagenome	unspecified	AMPLICON	3347	2013-09-06	2018-11-16	415
ERR329584	PRJEB1934	SAMEA2172900	ERX302563	mouse skin metagenome	unspecified	AMPLICON	2791	2013-09-06	2018-11-16	417
ERR329585	PRJEB1934	SAMEA2172901	ERX302564	mouse skin metagenome	unspecified	AMPLICON	6033	2013-09-06	2018-11-16	418
ERR329586	PRJEB1934	SAMEA2172902	ERX302565	mouse skin metagenome	unspecified	AMPLICON	6598	2013-09-06	2018-11-16	419
ERR329587	PRJEB1934	SAMEA2172903	ERX302566	mouse skin metagenome	unspecified	AMPLICON	3920	2013-09-06	2018-11-16	420
ERR329588	PRJEB1934	SAMEA2172904	ERX302567	mouse skin metagenome	unspecified	AMPLICON	3967	2013-09-06	2018-11-16	421
ERR329589	PRJEB1934	SAMEA2172905	ERX302568	mouse skin metagenome	unspecified	AMPLICON	3904	2013-09-06	2018-11-16	422
ERR329590	PRJEB1934	SAMEA2172906	ERX302569	mouse skin metagenome	unspecified	AMPLICON	4229	2013-09-06	2018-11-16	423
ERR329591	PRJEB1934	SAMEA2172907	ERX302570	mouse skin metagenome	unspecified	AMPLICON	4547	2013-09-06	2018-11-16	424
ERR329592	PRJEB1934	SAMEA2172908	ERX302571	mouse skin metagenome	unspecified	AMPLICON	2607	2013-09-06	2018-11-16	425
ERR329593	PRJEB1934	SAMEA2172909	ERX302572	mouse skin metagenome	unspecified	AMPLICON	3863	2013-09-06	2018-11-16	426
ERR329594	PRJEB1934	SAMEA2172910	ERX302573	mouse skin metagenome	unspecified	AMPLICON	4703	2013-09-06	2018-11-16	427
ERR329595	PRJEB1934	SAMEA2172911	ERX302574	mouse skin metagenome	unspecified	AMPLICON	3034	2013-09-06	2018-11-16	428
ERR329596	PRJEB1934	SAMEA2172912	ERX302575	mouse skin metagenome	unspecified	AMPLICON	4703	2013-09-06	2018-11-16	429
ERR329597	PRJEB1934	SAMEA2172913	ERX302576	mouse skin metagenome	unspecified	AMPLICON	2997	2013-09-06	2018-11-16	430
ERR329598	PRJEB1934	SAMEA2172914	ERX302577	mouse skin metagenome	unspecified	AMPLICON	3775	2013-09-06	2018-11-16	431
ERR329599	PRJEB1934	SAMEA2172915	ERX302578	mouse skin metagenome	unspecified	AMPLICON	3867	2013-09-06	2018-11-16	432
ERR329600	PRJEB1934	SAMEA2172916	ERX302579	mouse skin metagenome	unspecified	AMPLICON	2622	2013-09-06	2018-11-16	434
ERR329601	PRJEB1934	SAMEA2172917	ERX302580	mouse skin metagenome	unspecified	AMPLICON	11035	2013-09-06	2018-11-16	435
ERR329602	PRJEB1934	SAMEA2172918	ERX302581	mouse skin metagenome	unspecified	AMPLICON	2780	2013-09-06	2018-11-16	437
ERR329603	PRJEB1934	SAMEA2172919	ERX302582	mouse skin metagenome	unspecified	AMPLICON	14713	2013-09-06	2018-11-16	438
ERR329604	PRJEB1934	SAMEA2172920	ERX302583	mouse skin metagenome	unspecified	AMPLICON	4712	2013-09-06	2018-11-16	439
ERR329605	PRJEB1934	SAMEA2172921	ERX302584	mouse skin metagenome	unspecified	AMPLICON	4554	2013-09-06	2018-11-16	440
ERR329606	PRJEB1934	SAMEA2172922	ERX302585	mouse skin metagenome	unspecified	AMPLICON	5241	2013-09-06	2018-11-16	441
ERR329607	PRJEB1934	SAMEA2172923	ERX302586	mouse skin metagenome	unspecified	AMPLICON	3201	2013-09-06	2018-11-16	442
ERR329608	PRJEB1934	SAMEA2172924	ERX302587	mouse skin metagenome	unspecified	AMPLICON	8271	2013-09-06	2018-11-16	443
ERR329609	PRJEB1934	SAMEA2172925	ERX302588	mouse skin metagenome	unspecified	AMPLICON	6139	2013-09-06	2018-11-16	444
ERR329610	PRJEB1934	SAMEA2172926	ERX302589	mouse skin metagenome	unspecified	AMPLICON	4153	2013-09-06	2018-11-16	445
ERR329611	PRJEB1934	SAMEA2172927	ERX302590	mouse skin metagenome	unspecified	AMPLICON	2938	2013-09-06	2018-11-16	446
ERR329612	PRJEB1934	SAMEA2172928	ERX302591	mouse skin metagenome	unspecified	AMPLICON	2696	2013-09-06	2018-11-16	451
ERR329613	PRJEB1934	SAMEA2172929	ERX302592	mouse skin metagenome	unspecified	AMPLICON	4980	2013-09-06	2018-11-16	452
ERR329614	PRJEB1934	SAMEA2172930	ERX302593	mouse skin metagenome	unspecified	AMPLICON	9688	2013-09-06	2018-11-16	453
ERR329615	PRJEB1934	SAMEA2172931	ERX302594	mouse skin metagenome	unspecified	AMPLICON	5694	2013-09-06	2018-11-16	454
ERR329616	PRJEB1934	SAMEA2172932	ERX302595	mouse skin metagenome	unspecified	AMPLICON	9364	2013-09-06	2018-11-16	455
ERR329617	PRJEB1934	SAMEA2172933	ERX302596	mouse skin metagenome	unspecified	AMPLICON	10664	2013-09-06	2018-11-16	456
ERR329618	PRJEB1934	SAMEA2172934	ERX302597	mouse skin metagenome	unspecified	AMPLICON	6191	2013-09-06	2018-11-16	460
ERR329619	PRJEB1934	SAMEA2172935	ERX302598	mouse skin metagenome	unspecified	AMPLICON	6108	2013-09-06	2018-11-16	461
ERR329620	PRJEB1934	SAMEA2172936	ERX302599	mouse skin metagenome	unspecified	AMPLICON	6319	2013-09-06	2018-11-16	462
ERR329621	PRJEB1934	SAMEA2172937	ERX302600	mouse skin metagenome	unspecified	AMPLICON	6781	2013-09-06	2018-11-16	463
ERR329622	PRJEB1934	SAMEA2172938	ERX302601	mouse skin metagenome	unspecified	AMPLICON	6702	2013-09-06	2018-11-16	464
ERR329623	PRJEB1934	SAMEA2172939	ERX302602	mouse skin metagenome	unspecified	AMPLICON	2699	2013-09-06	2018-11-16	465
ERR329624	PRJEB1934	SAMEA2172940	ERX302603	mouse skin metagenome	unspecified	AMPLICON	5164	2013-09-06	2018-11-16	467
ERR329625	PRJEB1934	SAMEA2172941	ERX302604	mouse skin metagenome	unspecified	AMPLICON	2788	2013-09-06	2018-11-16	470
ERR329626	PRJEB1934	SAMEA2172942	ERX302605	mouse skin metagenome	unspecified	AMPLICON	4648	2013-09-06	2018-11-16	474
ERR329627	PRJEB1934	SAMEA2172943	ERX302606	mouse skin metagenome	unspecified	AMPLICON	8150	2013-09-06	2018-11-16	476
ERR329628	PRJEB1934	SAMEA2172944	ERX302607	mouse skin metagenome	unspecified	AMPLICON	6424	2013-09-06	2018-11-16	480
ERR329629	PRJEB1934	SAMEA2172945	ERX302608	mouse skin metagenome	unspecified	AMPLICON	4598	2013-09-06	2018-11-16	481
ERR329630	PRJEB1934	SAMEA2172946	ERX302609	mouse skin metagenome	unspecified	AMPLICON	12634	2013-09-06	2018-11-16	482
ERR329631	PRJEB1934	SAMEA2172947	ERX302610	mouse skin metagenome	unspecified	AMPLICON	12197	2013-09-06	2018-11-16	483
ERR329632	PRJEB1934	SAMEA2172948	ERX302611	mouse skin metagenome	unspecified	AMPLICON	2571	2013-09-06	2018-11-16	484
ERR329633	PRJEB1934	SAMEA2172949	ERX302612	mouse skin metagenome	unspecified	AMPLICON	7800	2013-09-06	2018-11-16	485
ERR329634	PRJEB1934	SAMEA2172950	ERX302613	mouse skin metagenome	unspecified	AMPLICON	7807	2013-09-06	2018-11-16	487
ERR329635	PRJEB1934	SAMEA2172951	ERX302614	mouse skin metagenome	unspecified	AMPLICON	7339	2013-09-06	2018-11-16	488
ERR329636	PRJEB1934	SAMEA2172952	ERX302615	mouse skin metagenome	unspecified	AMPLICON	10373	2013-09-06	2018-11-16	489
ERR329637	PRJEB1934	SAMEA2172953	ERX302616	mouse skin metagenome	unspecified	AMPLICON	5973	2013-09-06	2018-11-16	490
ERR329638	PRJEB1934	SAMEA2172954	ERX302617	mouse skin metagenome	unspecified	AMPLICON	3154	2013-09-06	2018-11-16	491
ERR329639	PRJEB1934	SAMEA2172955	ERX302618	mouse skin metagenome	unspecified	AMPLICON	4978	2013-09-06	2018-11-16	492
ERR329640	PRJEB1934	SAMEA2172956	ERX302619	mouse skin metagenome	unspecified	AMPLICON	5808	2013-09-06	2018-11-16	493
ERR329641	PRJEB1934	SAMEA2172957	ERX302620	mouse skin metagenome	unspecified	AMPLICON	4665	2013-09-06	2018-11-16	494
ERR329642	PRJEB1934	SAMEA2172958	ERX302621	mouse skin metagenome	unspecified	AMPLICON	2896	2013-09-06	2018-11-16	495
ERR329643	PRJEB1934	SAMEA2172959	ERX302622	mouse skin metagenome	unspecified	AMPLICON	6028	2013-09-06	2018-11-16	496
ERR329644	PRJEB1934	SAMEA2172960	ERX302623	mouse skin metagenome	unspecified	AMPLICON	7790	2013-09-06	2018-11-16	497
ERR329645	PRJEB1934	SAMEA2172961	ERX302624	mouse skin metagenome	unspecified	AMPLICON	5093	2013-09-06	2018-11-16	498
ERR329646	PRJEB1934	SAMEA2172962	ERX302625	mouse skin metagenome	unspecified	AMPLICON	11777	2013-09-06	2018-11-16	499
ERR329647	PRJEB1934	SAMEA2172963	ERX302626	mouse skin metagenome	unspecified	AMPLICON	4480	2013-09-06	2018-11-16	501
ERR329648	PRJEB1934	SAMEA2172964	ERX302627	mouse skin metagenome	unspecified	AMPLICON	5297	2013-09-06	2018-11-16	502
ERR329649	PRJEB1934	SAMEA2172965	ERX302628	mouse skin metagenome	unspecified	AMPLICON	4596	2013-09-06	2018-11-16	503
ERR329650	PRJEB1934	SAMEA2172966	ERX302629	mouse skin metagenome	unspecified	AMPLICON	13841	2013-09-06	2018-11-16	505
ERR329651	PRJEB1934	SAMEA2172967	ERX302630	mouse skin metagenome	unspecified	AMPLICON	6718	2013-09-06	2018-11-16	506
ERR329652	PRJEB1934	SAMEA2172968	ERX302631	mouse skin metagenome	unspecified	AMPLICON	3033	2013-09-06	2018-11-16	507
ERR329653	PRJEB1934	SAMEA2172969	ERX302632	mouse skin metagenome	unspecified	AMPLICON	2725	2013-09-06	2018-11-16	508
ERR329654	PRJEB1934	SAMEA2172970	ERX302633	mouse skin metagenome	unspecified	AMPLICON	2859	2013-09-06	2018-11-16	509
ERR329655	PRJEB1934	SAMEA2172971	ERX302634	mouse skin metagenome	unspecified	AMPLICON	8190	2013-09-06	2018-11-16	510
ERR329656	PRJEB1934	SAMEA2172972	ERX302635	mouse skin metagenome	unspecified	AMPLICON	5477	2013-09-06	2018-11-16	511
ERR329657	PRJEB1934	SAMEA2172973	ERX302636	mouse skin metagenome	unspecified	AMPLICON	3580	2013-09-06	2018-11-16	513
ERR329658	PRJEB1934	SAMEA2172974	ERX302637	mouse skin metagenome	unspecified	AMPLICON	4723	2013-09-06	2018-11-16	514
ERR329659	PRJEB1934	SAMEA2172975	ERX302638	mouse skin metagenome	unspecified	AMPLICON	3448	2013-09-06	2018-11-16	515
ERR329660	PRJEB1934	SAMEA2172976	ERX302639	mouse skin metagenome	unspecified	AMPLICON	3390	2013-09-06	2018-11-16	516
ERR329661	PRJEB1934	SAMEA2172977	ERX302640	mouse skin metagenome	unspecified	AMPLICON	6913	2013-09-06	2018-11-16	518
ERR329662	PRJEB1934	SAMEA2172978	ERX302641	mouse skin metagenome	unspecified	AMPLICON	5844	2013-09-06	2018-11-16	519
ERR329663	PRJEB1934	SAMEA2172979	ERX302642	mouse skin metagenome	unspecified	AMPLICON	6767	2013-09-06	2018-11-16	521
ERR329664	PRJEB1934	SAMEA2172980	ERX302643	mouse skin metagenome	unspecified	AMPLICON	6222	2013-09-06	2018-11-16	523
ERR329665	PRJEB1934	SAMEA2172981	ERX302644	mouse skin metagenome	unspecified	AMPLICON	5569	2013-09-06	2018-11-16	524
ERR329666	PRJEB1934	SAMEA2172982	ERX302645	mouse skin metagenome	unspecified	AMPLICON	3314	2013-09-06	2018-11-16	530
ERR329667	PRJEB1934	SAMEA2172983	ERX302646	mouse skin metagenome	unspecified	AMPLICON	7989	2013-09-06	2018-11-16	531
ERR329668	PRJEB1934	SAMEA2172984	ERX302647	mouse skin metagenome	unspecified	AMPLICON	10306	2013-09-06	2018-11-16	532
ERR329669	PRJEB1934	SAMEA2172985	ERX302648	mouse skin metagenome	unspecified	AMPLICON	2715	2013-09-06	2018-11-16	533
ERR329670	PRJEB1934	SAMEA2172986	ERX302649	mouse skin metagenome	unspecified	AMPLICON	9732	2013-09-06	2018-11-16	534
ERR329671	PRJEB1934	SAMEA2172987	ERX302650	mouse skin metagenome	unspecified	AMPLICON	3968	2013-09-06	2018-11-16	536
ERR329672	PRJEB1934	SAMEA2172988	ERX302651	mouse skin metagenome	unspecified	AMPLICON	6247	2013-09-06	2018-11-16	537
ERR329673	PRJEB1934	SAMEA2172989	ERX302652	mouse skin metagenome	unspecified	AMPLICON	2613	2013-09-06	2018-11-16	539
ERR329674	PRJEB1934	SAMEA2172990	ERX302653	mouse skin metagenome	unspecified	AMPLICON	8788	2013-09-06	2018-11-16	540
ERR329675	PRJEB1934	SAMEA2172991	ERX302654	mouse skin metagenome	unspecified	AMPLICON	7048	2013-09-06	2018-11-16	541
ERR329676	PRJEB1934	SAMEA2172992	ERX302655	mouse skin metagenome	unspecified	AMPLICON	7176	2013-09-06	2018-11-16	543
ERR329677	PRJEB1934	SAMEA2172993	ERX302656	mouse skin metagenome	unspecified	AMPLICON	3198	2013-09-06	2018-11-16	545
ERR329678	PRJEB1934	SAMEA2172994	ERX302657	mouse skin metagenome	unspecified	AMPLICON	3370	2013-09-06	2018-11-16	546
ERR329679	PRJEB1934	SAMEA2172995	ERX302658	mouse skin metagenome	unspecified	AMPLICON	2708	2013-09-06	2018-11-16	547
ERR329680	PRJEB1934	SAMEA2172996	ERX302659	mouse skin metagenome	unspecified	AMPLICON	9793	2013-09-06	2018-11-16	549
ERR329681	PRJEB1934	SAMEA2172997	ERX302660	mouse skin metagenome	unspecified	AMPLICON	16910	2013-09-06	2018-11-16	550
ERR329682	PRJEB1934	SAMEA2172998	ERX302661	mouse skin metagenome	unspecified	AMPLICON	12636	2013-09-06	2018-11-16	551
ERR329683	PRJEB1934	SAMEA2172999	ERX302662	mouse skin metagenome	unspecified	AMPLICON	2840	2013-09-06	2018-11-16	552
ERR329684	PRJEB1934	SAMEA2173000	ERX302663	mouse skin metagenome	unspecified	AMPLICON	3077	2013-09-06	2018-11-16	553
ERR329685	PRJEB1934	SAMEA2173001	ERX302664	mouse skin metagenome	unspecified	AMPLICON	5863	2013-09-06	2018-11-16	554
ERR329686	PRJEB1934	SAMEA2173002	ERX302665	mouse skin metagenome	unspecified	AMPLICON	2768	2013-09-06	2018-11-16	555
ERR329687	PRJEB1934	SAMEA2173003	ERX302666	mouse skin metagenome	unspecified	AMPLICON	6642	2013-09-06	2018-11-16	556
ERR329688	PRJEB1934	SAMEA2173004	ERX302667	mouse skin metagenome	unspecified	AMPLICON	7964	2013-09-06	2018-11-16	557
ERR329689	PRJEB1934	SAMEA2173005	ERX302668	mouse skin metagenome	unspecified	AMPLICON	5283	2013-09-06	2018-11-16	558
ERR329690	PRJEB1934	SAMEA2173006	ERX302669	mouse skin metagenome	unspecified	AMPLICON	8432	2013-09-06	2018-11-16	559
ERR329691	PRJEB1934	SAMEA2173007	ERX302670	mouse skin metagenome	unspecified	AMPLICON	5036	2013-09-06	2018-11-16	560
ERR329692	PRJEB1934	SAMEA2173008	ERX302671	mouse skin metagenome	unspecified	AMPLICON	5436	2013-09-06	2018-11-16	561
ERR329693	PRJEB1934	SAMEA2173009	ERX302672	mouse skin metagenome	unspecified	AMPLICON	4978	2013-09-06	2018-11-16	562
ERR329694	PRJEB1934	SAMEA2173010	ERX302673	mouse skin metagenome	unspecified	AMPLICON	4892	2013-09-06	2018-11-16	563
ERR329695	PRJEB1934	SAMEA2173011	ERX302674	mouse skin metagenome	unspecified	AMPLICON	6986	2013-09-06	2018-11-16	564
ERR329696	PRJEB1934	SAMEA2173012	ERX302675	mouse skin metagenome	unspecified	AMPLICON	5883	2013-09-06	2018-11-16	565
ERR329697	PRJEB1934	SAMEA2173013	ERX302676	mouse skin metagenome	unspecified	AMPLICON	5537	2013-09-06	2018-11-16	566
ERR329698	PRJEB1934	SAMEA2173014	ERX302677	mouse skin metagenome	unspecified	AMPLICON	5249	2013-09-06	2018-11-16	590
ERR329699	PRJEB1934	SAMEA2173015	ERX302678	mouse skin metagenome	unspecified	AMPLICON	4770	2013-09-06	2018-11-16	591
ERR329700	PRJEB1934	SAMEA2173016	ERX302679	mouse skin metagenome	unspecified	AMPLICON	6469	2013-09-06	2018-11-16	592
ERR329701	PRJEB1934	SAMEA2173017	ERX302680	mouse skin metagenome	unspecified	AMPLICON	6278	2013-09-06	2018-11-16	593
ERR329702	PRJEB1934	SAMEA2173018	ERX302681	mouse skin metagenome	unspecified	AMPLICON	5598	2013-09-06	2018-11-16	594
ERR329703	PRJEB1934	SAMEA2173019	ERX302682	mouse skin metagenome	unspecified	AMPLICON	5530	2013-09-06	2018-11-16	595
ERR329704	PRJEB1934	SAMEA2173020	ERX302683	mouse skin metagenome	unspecified	AMPLICON	3943	2013-09-06	2018-11-16	596
ERR329705	PRJEB1934	SAMEA2173021	ERX302684	mouse skin metagenome	unspecified	AMPLICON	2965	2013-09-06	2018-11-16	597
ERR329706	PRJEB1934	SAMEA2173022	ERX302685	mouse skin metagenome	unspecified	AMPLICON	3101	2013-09-06	2018-11-16	598
ERR329707	PRJEB1934	SAMEA2173023	ERX302686	mouse skin metagenome	unspecified	AMPLICON	5653	2013-09-06	2018-11-16	599
ERR329708	PRJEB1934	SAMEA2173024	ERX302687	mouse skin metagenome	unspecified	AMPLICON	3965	2013-09-06	2018-11-16	600
ERR329709	PRJEB1934	SAMEA2173025	ERX302688	mouse skin metagenome	unspecified	AMPLICON	11274	2013-09-06	2018-11-16	601
ERR329710	PRJEB1934	SAMEA2173026	ERX302689	mouse skin metagenome	unspecified	AMPLICON	6545	2013-09-06	2018-11-16	603
ERR329711	PRJEB1934	SAMEA2173027	ERX302690	mouse skin metagenome	unspecified	AMPLICON	12105	2013-09-06	2018-11-16	604
ERR329712	PRJEB1934	SAMEA2173028	ERX302691	mouse skin metagenome	unspecified	AMPLICON	4040	2013-09-06	2018-11-16	605
ERR329713	PRJEB1934	SAMEA2173029	ERX302692	mouse skin metagenome	unspecified	AMPLICON	5357	2013-09-06	2018-11-16	606
ERR329714	PRJEB1934	SAMEA2173030	ERX302693	mouse skin metagenome	unspecified	AMPLICON	6834	2013-09-06	2018-11-16	608
ERR329715	PRJEB1934	SAMEA2173031	ERX302694	mouse skin metagenome	unspecified	AMPLICON	2998	2013-09-06	2018-11-16	610
ERR329716	PRJEB1934	SAMEA2173032	ERX302695	mouse skin metagenome	unspecified	AMPLICON	4409	2013-09-06	2018-11-16	611
ERR329717	PRJEB1934	SAMEA2173033	ERX302696	mouse skin metagenome	unspecified	AMPLICON	4508	2013-09-06	2018-11-16	612
ERR329718	PRJEB1934	SAMEA2173034	ERX302697	mouse skin metagenome	unspecified	AMPLICON	5302	2013-09-06	2018-11-16	615
ERR329719	PRJEB1934	SAMEA2173035	ERX302698	mouse skin metagenome	unspecified	AMPLICON	3592	2013-09-06	2018-11-16	616
ERR329720	PRJEB1934	SAMEA2173036	ERX302699	mouse skin metagenome	unspecified	AMPLICON	6098	2013-09-06	2018-11-16	618
ERR329721	PRJEB1934	SAMEA2173037	ERX302700	mouse skin metagenome	unspecified	AMPLICON	6066	2013-09-06	2018-11-16	619
ERR329722	PRJEB1934	SAMEA2173038	ERX302701	mouse skin metagenome	unspecified	AMPLICON	5720	2013-09-06	2018-11-16	623
